id;tipo;denominacion;codigo;tipo_nombre;sub_codigo;abreviarura;orden;estado
125;27;CALCULADO POR SISTEMA;135;TIPO CALCULO DE LIQUIDACION;;;1;A
126;27;DE ACUERDO A LA DECLARACION JURADA PRESENTADA;136;TIPO CALCULO DE LIQUIDACION;;;2;A
127;27;REAJUSTE POR INSTRUCCION DEL MUNICIPIO;137;TIPO CALCULO DE LIQUIDACION;;;3;A
128;27;DESCUENTO POR ACUERDO DE CAT;138;TIPO CALCULO DE LIQUIDACION;;;4;A
129;27;CALCULADO POR SISTEMA 2;139;TIPO CALCULO DE LIQUIDACION;;;5;A
130;27;DE ACUERDO A LA DECLARACIÓN JURADA PRESENTADA 2;140;TIPO CALCULO DE LIQUIDACION;;;6;A
131;27;REAJUSTE POR INSTRUCCION DEL MUNICIPIO 2;141;TIPO CALCULO DE LIQUIDACION;;;7;A
132;27;COBRO POR INSTRUCCION DEL MUNICIPIO;142;TIPO CALCULO DE LIQUIDACION;;;8;A
133;27;SEGUN NUMERAL 12.7 D.S.008-2013-VIVIENDA (50%);143;TIPO CALCULO DE LIQUIDACION;;;9;A
134;28;POR ORDENANZA 159 C/MC;144;ORDENANZA;;;1;A
135;28;POR ORDENANZA 181;145;ORDENANZA;;;2;A
136;28;POR ORDENANZA 202;146;ORDENANZA;;;3;A
137;28;POR RESOL. MINISTERIAL 074-2005-VIV.;147;ORDENANZA;;;4;A
138;29;EDIFICACION NUEVA;148;TIPOS DE OBRA;;;1;A
139;29;REFACCION;149;TIPOS DE OBRA;;;2;A
140;29;CERCADO;150;TIPOS DE OBRA;;;3;A
141;29;DEMOLICION;151;TIPOS DE OBRA;;;4;A
142;29;AMPLIACION;152;TIPOS DE OBRA;;;5;A
143;29;REMODELACION;153;TIPOS DE OBRA;;;6;A
144;29;PUESTA VALOR HISTORICO;154;TIPOS DE OBRA;;;7;A
145;29;OBRAS COMPLEMENTARIAS;155;TIPOS DE OBRA;;;8;A
146;30;VIVIENDA - UNIFAMILIAR;156;USOS DE EDIFICACION;;;1;A
147;30;VIVIENDA - MULTIFAMILIAR;157;USOS DE EDIFICACION;;;2;A
148;30;VIVIENDA CON USOS COMPLEMENTARIOS;158;USOS DE EDIFICACION;;;3;A
149;30;COMERCIO;159;USOS DE EDIFICACION;;;4;A
150;30;OFICINAS;160;USOS DE EDIFICACION;;;5;A
151;30;INDUSTRIA;161;USOS DE EDIFICACION;;;6;A
152;30;SALUD;162;USOS DE EDIFICACION;;;7;A
153;30;EDUCACION;163;USOS DE EDIFICACION;;;8;A
154;30;HOSPEDAJE;164;USOS DE EDIFICACION;;;9;A
155;30;SERVICIOS COMUNALES;165;USOS DE EDIFICACION;;;10;A
156;30;RECREACION Y DEPORTE;166;USOS DE EDIFICACION;;;11;A
157;30;TRANSPORTE Y COMUNICACIONES;167;USOS DE EDIFICACION;;;12;A
158;30;OTROS;168;USOS DE EDIFICACION;;;13;A
159;30;CAMPAMENTO MINERO;169;USOS DE EDIFICACION;;;14;A
160;31;Ha;170;UNIDADES DE MEDIDA LIQUIDACION;;;1;A
161;31;M2;171;UNIDADES DE MEDIDA LIQUIDACION;;;2;A
162;31;ML;172;UNIDADES DE MEDIDA LIQUIDACION;;;3;A
163;31;UN;173;UNIDADES DE MEDIDA LIQUIDACION;;;4;A
164;33;A.A.H.H.;176;TIPO SITIO;;;1;A
165;33;OTROS;177;TIPO SITIO;;;2;A
166;33;PP.JJ.;178;TIPO SITIO;;;3;A
167;33;URB.;179;TIPO SITIO;;;4;A
168;34;MZ.;180;TIPO ZONA;;;1;A
169;34;PARC.;181;TIPO ZONA;;;2;A
170;35;AV.;182;TIPO DIRECCION;;;1;A
171;35;CALLE;183;TIPO DIRECCION;;;2;A
172;35;ESQ.;184;TIPO DIRECCION;;;3;A
173;35;JR.;185;TIPO DIRECCION;;;4;A
174;35;OTROS;186;TIPO DIRECCION;;;5;A
175;35;PJE.;187;TIPO DIRECCION;;;6;A
176;36;USO RESIDENCIAL;188;TIPO HABILITACION URBANA;;;1;A
177;36;USO COMERCIAL;189;TIPO HABILITACION URBANA;;;2;A
178;36;EN RIVERAS Y LADERAS;190;TIPO HABILITACION URBANA;;;3;A
179;36;USO INDUSTRIAL;191;TIPO HABILITACION URBANA;;;4;A
180;36;USOS ESPECIALES;192;TIPO HABILITACION URBANA;;;5;A
181;36;REURBANIZACION;193;TIPO HABILITACION URBANA;;;6;A
182;36;OTROS;194;TIPO HABILITACION URBANA;;;7;A
183;38;CONSTATADOR;200;TIPO DE TRAMITE CON FINES DE CONSTRUCCION;;;1;A
184;38;PROYECTO DE SEGURIDAD;201;TIPO DE TRAMITE CON FINES DE CONSTRUCCION;;;2;A
185;38;RESIDENTE DE OBRA;202;TIPO DE TRAMITE CON FINES DE CONSTRUCCION;;;3;A
186;38;RESPONSABLE DE OBRA;203;TIPO DE TRAMITE CON FINES DE CONSTRUCCION;;;4;A
187;38;SUPERVISIÓN DE OBRA;204;TIPO DE TRAMITE CON FINES DE CONSTRUCCION;;;5;A
188;40;30 Días;206;VIGENCIA;;;1;A
189;40;90 Días;207;VIGENCIA;;;2;A
190;40;180 Días;209;VIGENCIA;;;3;A
191;41;PROYECTISTA INDIVIDUAL;211;TIPO DE PROYECTISTA;;;1;A
192;41;PROYECTISTA ASOCIADOS;212;TIPO DE PROYECTISTA;;;2;A
193;39;LIQUIDACIÓN;214;TIPO DE SOLICITUD;;;1;A
194;43;DISTRITAL;215;TIPO MUNICIPALIDAD;;;1;A
195;43;PROVINCIAL;216;TIPO MUNICIPALIDAD;;;2;A
196;43;ADHOC;217;TIPO MUNICIPALIDAD;;;3;A
197;44;LICENCIA DE FUNCIONAMIENTO;218;TIPO DE TRAMITE SIN FINES DE CONSTRUCCION;;;1;A
198;44;SUNARP;219;TIPO DE TRAMITE SIN FINES DE CONSTRUCCION;;;2;A
199;44;CONSULTORIA;220;TIPO DE TRAMITE SIN FINES DE CONSTRUCCION;;;3;A
200;44;ACREDITAR HABILITACION PROFESIONAL;221;TIPO DE TRAMITE SIN FINES DE CONSTRUCCION;;;4;A
201;45;TRAMITE PERSONAL;222;AUTORIZA TRAMITE;;;1;A
202;45;OTROS;223;AUTORIZA TRAMITE;;;2;A
203;46;EN EJERCICIO;224;ACTIVIDAD GREMIAL;;;1;A
204;46;SUSPENDIDO;225;ACTIVIDAD GREMIAL;;;2;A
205;33;FUNDO;226;TIPO SITIO;;;1;A
206;24;SIN DEFINIR;241;TIPO PROYECTO;;;1;A
207;36;SIN DEFINIR;244;TIPO HABILITACION URBANA;;;1;A
208;30;SIN DEFINIR;245;USOS DE EDIFICACION;;;1;A
209;47;REVISION PRIMERA INSTANCIA;246;INSTANCIAS DE REVISION;;;1;A
210;47;REVISION SEGUNDA INSTANCIA;248;INSTANCIAS DE REVISION;;;2;A
211;47;NULIDAD DE DICTAMEN;249;INSTANCIAS DE REVISION;;;3;A
212;47;REINTEGRO;250;INSTANCIAS DE REVISION;;;4;A
213;48;RANGO;251;TIPO CALCULO FORMATOS;;;1;A
214;48;MONTO FIJO;252;TIPO CALCULO FORMATOS;;;2;A
215;20;CREDITO SIN LETRA;253;FORMA DE PAGO;;;1;A
216;19;ABONO DIRECTO;254;CONDICION PAGO;;;1;A
217;19;CHEQUE;255;CONDICION PAGO;;;2;A
218;48;SIN DEFINIR;256;TIPO CALCULO FORMATOS;;;1;A
219;43;SIN DEFINIR;257;TIPO MUNICIPALIDAD;;;1;A
220;27;SIN DEFINIR;258;TIPO CALCULO DE LIQUIDACION;;;1;A
221;16;OTROS DOCUMENTOS DE IDENTIDAD;259;TIPO DOCUMENTO CLIENTE;;;1;A
222;16;CEDULA DIPLOMATICA DE IDENTIDAD;260;TIPO DOCUMENTO CLIENTE;;;2;A
223;20;CREDITO CON LETRA;261;FORMA DE PAGO;;;1;A
224;20;CANJE;262;FORMA DE PAGO;;;2;A
225;49;BANCO CREDITO DEL PERU;263;BANCOS;;;1;A
226;49;BANCO INTERBANK;264;BANCOS;;;2;A
227;14;OTRO;265;SITUACION CLIENTE;;;1;A
228;14;PROVINCIA;266;SITUACION CLIENTE;;;2;A
229;50;PENDIENTE;267;SITUACION IMPORTACION BANCARIZACION;;;1;A
230;50;GENERADO;268;SITUACION IMPORTACION BANCARIZACION;;;2;A
231;11;EXONERADO;269;SITUACION CUOTAS ORDINARIAS;;;1;A
232;51;ANULACION DE LA OPERACION;270;TIPO NOTA CREDITO;;;1;A
233;51;ANULACION POR ERROR DE RUC;271;TIPO NOTA CREDITO;;;2;A
234;51;CORRECION POR ERROR EN LA DESCRIPCION;272;TIPO NOTA CREDITO;;;3;A
235;51;DESCUENTO GLOBAL;273;TIPO NOTA CREDITO;;;4;A
236;51;DESCUENTO POR ITEM;274;TIPO NOTA CREDITO;;;5;A
237;51;DEVOLUCION TOTAL;275;TIPO NOTA CREDITO;;;6;A
238;51;DEVOLUCION POR ITEM;276;TIPO NOTA CREDITO;;;7;A
239;51;DISMINUCION EN EL VALOR;277;TIPO NOTA CREDITO;;;8;A
240;52;AUMENTO EN EL VALOR;278;TIPO NOTA DEBITO;;;1;A
241;53;GRAVADO;279;TIPO AFECTACION;;;1;A
242;53;EXONERADO;280;TIPO AFECTACION;;;2;A
243;53;INAFECTO;281;TIPO AFECTACION;;;3;A
244;54;BOMBEROS;282;TIPO ADHOC;;;1;A
245;54;INDECI;283;TIPO ADHOC;;;2;A
246;54;MINISTERIO DE CULTURA;284;TIPO ADHOC;;;3;A
247;55;TITULAR COORDINADOR;285;CONDICION DELEGADO;;;1;A
248;55;TITULAR;286;CONDICION DELEGADO;;;2;A
249;55;SUPLENTE;287;CONDICION DELEGADO;;;3;A
250;56;PENDIENTE;288;ESTADO SESION;;;1;A
251;56;EN PROCESO;289;ESTADO SESION;;;2;A
252;56;CULMINADA;290;ESTADO SESION;;;3;A
253;57;CONFORME;291;ESTADO DICTAMEN;;;1;A
254;57;NO CONFORME;292;ESTADO DICTAMEN;;;2;A
255;57;FUNDADO;293;ESTADO DICTAMEN;;;3;A
256;57;INFUNDADO;294;ESTADO DICTAMEN;;;4;A
257;57;ACUERDO (AMPLIACION DE PLAZO);295;ESTADO DICTAMEN;;;5;A
258;53;GRAVADO PREMIO;296;TIPO AFECTACION;;;1;A
259;53;GRAVADO RETIRO TRABAJADOR;297;TIPO AFECTACION;;;2;A
260;58;GENERADO;298;SITUACION EXONERACION;;;1;A
261;58;ANULADO;299;SITUACION EXONERACION;;;2;A
262;59;GENERADO;300;SITUACION FRACCIONAMIENTO;;;1;A
263;59;ANULADO;301;SITUACION FRACCIONAMIENTO;;;2;A
264;60;CUOTA GREMIAL;302;TIPO DEUDA;;;1;A
265;60;MULTA;303;TIPO DEUDA;;;2;A
266;60;FRACCIONAMIENTO;304;TIPO DEUDA;;;3;A
267;27;N-REVISION;305;TIPO CALCULO DE LIQUIDACION;;;1;A
268;27;POR REPETICION DE MODULO TIPICO;306;TIPO CALCULO DE LIQUIDACION;;;2;A
269;33;ASOC.;307;TIPO SITIO;;;1;A
270;62;POR MULTA;308;TIPO MOTIVO SITUACION;;;1;A
271;62;POR SUSPENSION;309;TIPO MOTIVO SITUACION;;;2;A
272;62;POR CUOTA MOROSA;310;TIPO MOTIVO SITUACION;;;3;A
273;62;POR FRACCIONAMIENTO MOROSO;311;TIPO MOTIVO SITUACION;;;4;A
274;30;abc;332;USOS DE EDIFICACION;;;1;A
275;34;SIN DEFINIR;333;TIPO ZONA;;;1;A
276;63;LOCAL;334;UBICACION CLIENTE;;;1;A
277;63;PROVINCIA;335;UBICACION CLIENTE;;;2;A
278;63;EXTRANJERO;336;UBICACION CLIENTE;;;3;A
279;63;SIN DEFINIR;337;UBICACION CLIENTE;;;4;A
280;40;60 Días;338;VIGENCIA;;;1;A
281;38;SIN DEFINIR;339;TIPO DE TRAMITE CON FINES DE CONSTRUCCION;;;1;A
282;44;SIN DEFINIR;340;TIPO DE TRAMITE SIN FINES DE CONSTRUCCION;;;1;A
283;45;TRAMITE RESTRINGIDO;341;AUTORIZA TRAMITE;;;1;A
284;64;PENDIENTE;342;SITUACION COMPROBANTE POR COBRAR;;;1;A
285;64;CANCELADO;343;SITUACION COMPROBANTE POR COBRAR;;;2;A
286;64;ANULADO;344;SITUACION COMPROBANTE POR COBRAR;;;3;A
287;64;0;345;SITUACION COMPROBANTE POR COBRAR;;;4;A
288;64;0;346;SITUACION COMPROBANTE POR COBRAR;;;5;A
289;64;0;347;SITUACION COMPROBANTE POR COBRAR;;;6;A
290;64;0;348;SITUACION COMPROBANTE POR COBRAR;;;7;A
291;64;0;349;SITUACION COMPROBANTE POR COBRAR;;;8;A
292;64;0;350;SITUACION COMPROBANTE POR COBRAR;;;9;A
293;64;0;351;SITUACION COMPROBANTE POR COBRAR;;;10;A
294;64;0;352;SITUACION COMPROBANTE POR COBRAR;;;11;A
295;64;12047;353;SITUACION COMPROBANTE POR COBRAR;;;12;A
296;64;12047;354;SITUACION COMPROBANTE POR COBRAR;;;13;A
297;64;12047;355;SITUACION COMPROBANTE POR COBRAR;;;14;A
298;64;12047;356;SITUACION COMPROBANTE POR COBRAR;;;15;A
299;22;PENDIENTE;357;SITUACION DOCUMENTO VENTA;;;1;A
300;64;0;358;SITUACION COMPROBANTE POR COBRAR;;;1;A
301;64;0;359;SITUACION COMPROBANTE POR COBRAR;;;2;A
302;64;0;360;SITUACION COMPROBANTE POR COBRAR;;;3;A
303;64;0;361;SITUACION COMPROBANTE POR COBRAR;;;4;A
304;64;0;362;SITUACION COMPROBANTE POR COBRAR;;;5;A
305;64;0;363;SITUACION COMPROBANTE POR COBRAR;;;6;A
306;64;0;364;SITUACION COMPROBANTE POR COBRAR;;;7;A
307;64;12047;365;SITUACION COMPROBANTE POR COBRAR;;;8;A
308;64;12047;366;SITUACION COMPROBANTE POR COBRAR;;;9;A
309;64;12047;367;SITUACION COMPROBANTE POR COBRAR;;;10;A
310;64;12047;368;SITUACION COMPROBANTE POR COBRAR;;;11;A
311;64;12047;369;SITUACION COMPROBANTE POR COBRAR;;;12;A
312;65;PRE-COLEGIADO;370;TIPO DE AGREMIADO;;;1;A
313;65;COLEGIADO;371;TIPO DE AGREMIADO;;;2;A
314;12;SIN DEFINIR;372;PARENTESCO;;;1;A
315;55;EXTRA;373;CONDICION DELEGADO;;;1;A
316;66;Vigente;374;VIGENCIA INTEGRACION Y COMISION;;;1;A
317;66;No Vigente;375;VIGENCIA INTEGRACION Y COMISION;;;2;A
318;67;INTEGRACION;376;TIPO AGRUPACION MUNICIPALIDAD;;;1;A
319;67;ZONAL;377;TIPO AGRUPACION MUNICIPALIDAD;;;2;A
320;68;PAGO COORDINADOR;378;TIPO PARAMETRO;;;1;A
321;68;OTRO;381;TIPO PARAMETRO;;;2;A
322;69;COMISIÓN 01;382;COMISIONES DE DELEGATURA;;;1;A
323;69;COMISIÓN 02;383;COMISIONES DE DELEGATURA;;;2;A
324;69;COMISIÓN 03;384;COMISIONES DE DELEGATURA;;;3;A
325;69;COMISIÓN 04;385;COMISIONES DE DELEGATURA;;;4;A
326;69;COMISIÓN 05;386;COMISIONES DE DELEGATURA;;;5;A
327;69;COMISIÓN 06;387;COMISIONES DE DELEGATURA;;;6;A
328;69;COMISIÓN 07;388;COMISIONES DE DELEGATURA;;;7;A
329;69;COMISIÓN 08;390;COMISIONES DE DELEGATURA;;;8;A
330;69;COMISIÓN 09;391;COMISIONES DE DELEGATURA;;;9;A
331;70;LUNES;392;DIA DE LA SEMANA;;;1;A
332;70;MARTES;393;DIA DE LA SEMANA;;;2;A
333;70;MIÉRCOLES;394;DIA DE LA SEMANA;;;3;A
334;70;JUEVES;395;DIA DE LA SEMANA;;;4;A
335;70;VIERNES;396;DIA DE LA SEMANA;;;5;A
336;70;SÁBADO;397;DIA DE LA SEMANA;;;6;A
337;70;DOMINGO;398;DIA DE LA SEMANA;;;7;A
338;69;SIN DEFINIR;399;COMISIONES DE DELEGATURA;;;1;A
339;67;SIN DEFINIR;400;TIPO AGRUPACION MUNICIPALIDAD;;;1;A
340;71;PROGRAMADO;401;TIPO PROGRAMACION SESION;;;1;A
341;71;EJECUTOR;402;TIPO PROGRAMACION SESION;;;2;A
342;64;15010;403;SITUACION COMPROBANTE POR COBRAR;;;1;A
343;64;15010;404;SITUACION COMPROBANTE POR COBRAR;;;2;A
344;64;15010;405;SITUACION COMPROBANTE POR COBRAR;;;3;A
345;64;15010;406;SITUACION COMPROBANTE POR COBRAR;;;4;A
346;64;15010;407;SITUACION COMPROBANTE POR COBRAR;;;5;A
347;64;15010;408;SITUACION COMPROBANTE POR COBRAR;;;6;A
348;64;15010;409;SITUACION COMPROBANTE POR COBRAR;;;7;A
349;64;15010;410;SITUACION COMPROBANTE POR COBRAR;;;8;A
350;64;15010;411;SITUACION COMPROBANTE POR COBRAR;;;9;A
351;64;15010;412;SITUACION COMPROBANTE POR COBRAR;;;10;A
352;64;10105;413;SITUACION COMPROBANTE POR COBRAR;;;11;A
353;64;10105;414;SITUACION COMPROBANTE POR COBRAR;;;12;A
354;64;10105;415;SITUACION COMPROBANTE POR COBRAR;;;13;A
355;64;0;416;SITUACION COMPROBANTE POR COBRAR;;;14;A
356;29;SIN DEFINIR;424;TIPOS DE OBRA;;;1;A
357;59;APROBADO;425;SITUACION FRACCIONAMIENTO;;;1;A
358;58;APROBADO;426;SITUACION EXONERACION;;;1;A
359;43;ESPECIAL;427;TIPO MUNICIPALIDAD;;;1;A
360;72;ERP;428;TIPO ORIGEN DATO;;;1;A
361;72;TABLET;429;TIPO ORIGEN DATO;;;2;A
362;68;PORCENTAJE COMISION CAP;430;TIPO PARAMETRO;;;1;A
363;68;PORCENTAJE FONDO ASISTENCIA;431;TIPO PARAMETRO;;;2;A
364;68;PORCENTAJE RESERVA ACUERDO N° 5;432;TIPO PARAMETRO;;;3;A
365;73;MENSUAL;433;TIPO PLANILLA;;;1;A
366;73;COMPLEMENTARIA;434;TIPO PLANILLA;;;2;A
367;73;REINTEGRO;435;TIPO PLANILLA;;;3;A
368;74;REGULAR;436;TIPO REINTEGRO;;;1;A
369;74;COORDINADOR;437;TIPO REINTEGRO;;;2;A
370;74;MOVILIDAD;438;TIPO REINTEGRO;;;3;A
371;54;SIN DEFINIR;439;TIPO ADHOC;;;1;A
372;75;CURSOS DEL CONSEJO NACIONAL;440;MOTIVO SOLICITUD ADELANTO;;;1;A
373;75;CURSOS DEL CONSEJO REGIONAL LIMA;441;MOTIVO SOLICITUD ADELANTO;;;2;A
374;75;CUOTAS MENSUALES;442;MOTIVO SOLICITUD ADELANTO;;;3;A
375;75;BASES;443;MOTIVO SOLICITUD ADELANTO;;;4;A
376;75;CERTIFICADOS HABILITACION PROFESIONAL C/S FINES;444;MOTIVO SOLICITUD ADELANTO;;;5;A
377;75;OTROS;445;MOTIVO SOLICITUD ADELANTO;;;6;A
378;76;PENDIENTE DE DESCUENTO;446;ESTADO ADELANTO DELEGADOS;;;1;A
379;76;PARCIALMENTE DESCONTADO;447;ESTADO ADELANTO DELEGADOS;;;2;A
380;76;DESCONTADO;448;ESTADO ADELANTO DELEGADOS;;;3;A
381;77;APLICAR TRIBUTO;458;APLICA IMPUESTO 4TA;;;1;A
382;77;NO APLICAR TRIBUTO;459;APLICA IMPUESTO 4TA;;;2;A
383;77;APLICAR TRIBUTO AUNQUE SEA MENOR;460;APLICA IMPUESTO 4TA;;;3;A
